Source: ACS 1-Year Estimates Public Use Microdata Sample 2019
Weight used: WGTP
"Universe: selected geographies: Orange County (Southwest)--..., Orange County (South Centra..., Orange County (West Central..., Orange County (Central)--Ir..., Orange County (Northeast)--..., Orange County (North)--Yorb..., Orange County (North Centra..., Orange County (Northwest)--..., Orange County (North Centra..., Orange County (North Centra..., Orange County (Central)--Or..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Southeast)--..., Orange County (Central)--Sa..., Orange County (Central)--Sa..., Orange County (Central)--Co..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Selected Geographies","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old","90-99 Years Old"
"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California","894","1070","1201","1000","835","551","315","115","140","830"
"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California","427","535","643","741","435","396","478","179","424","382"
"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California","1036","787","1314","1382","991","554","526","487","450","749"
"Orange County (Central)--Irvine City (Central) PUMA, California","1580","1443","1899","1585","1262","1054","498","295","605","787"
"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California","1018","913","1325","1141","799","473","375","470","291","429"
"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California","560","594","1115","769","579","432","246","143","155","137"
"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California","920","956","1263","1086","901","589","294","215","499","620"
"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California","842","853","789","885","900","469","272","183","198","228"
"Orange County (North Central)--Anaheim City (West) PUMA, California","1104","993","1157","1003","1031","716","605","881","656","362"
"Orange County (North Central)--Anaheim City (East) PUMA, California","1020","934","1090","1114","945","671","467","224","533","1275"
"Orange County (Central)--Orange & Villa Park Cities PUMA, California","870","899","976","1020","607","461","332","127","655","212"
"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California","1291","985","970","1168","804","630","536","391","588","426"
"Orange County (Northwest)--Garden Grove City (East) PUMA, California","1008","967","901","942","756","759","604","381","271","121"
"Orange County (Northwest)--Huntington Beach City PUMA, California","1297","1091","1219","1490","819","721","506","326","274","224"
"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California","418","593","266","594","494","334","169","390","443","1380"
"Orange County (Central)--Santa Ana City (West) PUMA, California","1007","832","709","762","887","747","314","339","199","82"
"Orange County (Central)--Santa Ana City (East) PUMA, California","1259","1205","1177","1244","1181","714","670","508","400","355"
"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California","1008","1105","1443","1291","1100","769","521","286","424","849"
