Source: ACS 1-Year Estimates Public Use Microdata Sample 2016
Weight used: WGTP
"Universe: selected geographies: Orange County (Southwest)--..., Orange County (South Centra..., Orange County (West Central..., Orange County (Central)--Ir..., Orange County (Northeast)--..., Orange County (North)--Yorb..., Orange County (North Centra..., Orange County (Northwest)--..., Orange County (North Centra..., Orange County (North Centra..., Orange County (Central)--Or..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Southeast)--..., Orange County (Central)--Sa..., Orange County (Central)--Sa..., Orange County (Central)--Co..."
"","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)","","","","","","","","",""
"Selected Geographies","200000-Max","Negative Income","No Income","20001-40000","60001-80000","80001-120000","120001-160000","160001-200000","1-20000","400001-60000"
"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California","267","116","1302","798","739","819","571","448","617","802"
"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California","211","2018","0","426","569","716","292","595","537","894"
"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California","426","740","680","907","733","819","847","578","705","872"
"Orange County (Central)--Irvine City (Central) PUMA, California","387","1029","1967","1064","1233","1172","1118","1045","1257","1093"
"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California","265","167","7","1048","959","819","615","441","432","838"
"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California","241","925","0","517","703","673","369","75","506","693"
"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California","137","676","697","741","871","898","284","275","675","1022"
"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California","267","549","384","704","507","514","401","335","601","693"
"Orange County (North Central)--Anaheim City (West) PUMA, California","547","812","0","1045","746","844","493","642","820","1048"
"Orange County (North Central)--Anaheim City (East) PUMA, California","283","325","630","949","969","752","693","328","864","1139"
"Orange County (Central)--Orange & Villa Park Cities PUMA, California","117","432","0","693","601","695","700","348","815","906"
"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California","193","631","742","753","570","520","580","364","706","789"
"Orange County (Northwest)--Garden Grove City (East) PUMA, California","98","659","0","811","580","768","570","711","787","887"
"Orange County (Northwest)--Huntington Beach City PUMA, California","357","500","354","774","821","721","738","275","746","700"
"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California","261","553","1323","1038","388","402","351","527","414","1206"
"Orange County (Central)--Santa Ana City (West) PUMA, California","196","192","533","691","780","517","597","449","687","1068"
"Orange County (Central)--Santa Ana City (East) PUMA, California","732","467","743","941","783","529","369","647","676","850"
"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California","467","643","1434","836","938","1117","1020","662","752","1057"
