"Selected Geographies","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old","90-99 Years Old"
"Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA, California","4","4","2","2","3","2","2","2","2","2"
"Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA, California","4","4","3","2","3","3","2","2","2","1"
"Los Angeles County (Central)--LA City (Central/Koreatown) PUMA, California","4","4","3","3","3","3","2","2","1","2"
"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA; California","5","5","3","3","3","3","3","2","3","2"
"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA; California","5","5","4","4","4","4","3","3","3","3"
"Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA, California","4","4","3","4","3","3","3","2","2","2"
"Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA, California","5","5","4","4","4","4","3","3","3","3"
"Los Angeles County (Central)--El Monte & South El Monte Cities PUMA, California","6","5","5","5","4","4","3","3","3","4"
"Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA, California","5","5","4","4","4","3","3","3","2","2"
"Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA, California","5","5","5","4","4","4","3","3","2","2"
"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA; California","5","5","5","4","5","4","4","3","2","4"
"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA; California","5","6","5","5","5","4","4","4","4","3"
"Los Angeles County (Central)--East Los Angeles PUMA, California","5","5","4","4","4","4","3","3","3","2"
"Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA, California","5","5","4","3","3","3","2","2","2","2"
"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA, California","6","6","5","5","5","4","4","3","2",""
"Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California","5","5","4","5","4","3","3","2","3","2"
"Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA, California","5","4","3","3","3","2","2","2","2","2"
"Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California","4","4","3","3","3","2","2","2","2","3"
"Los Angeles County (Central)--Inglewood City PUMA, California","5","5","4","4","4","4","4","3","3","2"
"Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA, California","5","6","5","5","4","4","3","3","3","3"
"Los Angeles County (South Central)--LA City (South Central/Watts) PUMA, California","6","6","5","5","5","4","4","3","3","2"
"Los Angeles County (South)--South Gate & Lynwood Cities PUMA, California","5","5","5","5","5","4","4","4","3","3"
"Los Angeles County (South)--Downey City PUMA, California","5","5","5","4","4","4","3","3","3","2"
"Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA, California","5","5","4","4","4","4","3","2","2","2"
"Los Angeles County (Southeast)--Norwalk City PUMA, California","6","5","5","4","5","4","4","3","2","2"
"Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA, California","5","5","4","4","5","4","4","4","4","4"
"Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA, California","6","5","5","5","4","4","3","3","3","2"
"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA; California","5","5","4","4","3","3","3","3","3","2"
