Source: ACS 1-Year Estimates Public Use Microdata Sample 2016
Weight used: WGTP
"Universe: selected geographies: Riverside County (East)--In..., Riverside County (Central)-..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (North Cen..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County--Palm Dese..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Selected Geographies","90-99 Years Old","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old"
"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California","279","341","289","364","344","277","267","91","210","100"
"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California","151","837","605","543","769","501","284","177","131","171"
"Riverside County (Southwest)--Temecula City PUMA, California","0","842","509","513","772","616","473","98","239","263"
"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California","232","469","597","693","474","431","389","264","262","84"
"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California","203","562","446","424","426","452","289","213","185","135"
"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California","211","576","554","547","470","606","230","322","133","132"
"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California","249","485","413","409","354","430","267","85","122","54"
"Riverside County (Northwest)--Moreno Valley City PUMA, California","","626","606","564","537","549","493","213","164","43"
"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California","212","493","371","425","423","347","235","350","267","347"
"Riverside County (Northwest)--Riverside City (East) PUMA, California","751","702","542","945","740","461","367","242","295","417"
"Riverside County (Northwest)--Riverside City (West) PUMA, California","1331","660","466","547","663","476","337","353","328","192"
"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California","0","471","500","442","313","415","230","135","195","234"
"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California","469","704","472","552","626","486","431","278","235","329"
"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California","1267","467","482","389","450","392","413","239","205","667"
"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California","103","488","553","748","519","492","384","265","217","156"
