Source: ACS 1-Year Estimates Public Use Microdata Sample 2017
Weight used: WGTP
"Universe: selected geographies: Riverside County (East)--In..., Riverside County (Central)-..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (North Cen..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County--Palm Dese..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Selected Geographies","90-99 Years Old","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old"
"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California","0","202","228","185","228","204","133","127","109","87"
"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California","399","613","698","580","663","614","353","178","142","218"
"Riverside County (Southwest)--Temecula City PUMA, California","72","684","669","682","610","621","397","383","108","217"
"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California","95","482","545","703","413","438","341","205","253","253"
"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California","0","416","439","521","409","432","375","277","146","191"
"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California","251","438","372","517","381","389","375","233","279","288"
"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California","83","450","489","414","351","378","257","241","186","129"
"Riverside County (Northwest)--Moreno Valley City PUMA, California","0","718","553","667","643","480","409","345","210","137"
"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California","0","414","382","408","332","420","218","155","73","91"
"Riverside County (Northwest)--Riverside City (East) PUMA, California","276","553","504","719","416","515","342","293","280","365"
"Riverside County (Northwest)--Riverside City (West) PUMA, California","305","690","828","733","637","644","384","252","398","707"
"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California","858","336","449","367","364","273","309","141","75","145"
"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California","1472","717","564","635","645","436","320","383","218","275"
"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California","141","486","407","343","444","398","240","393","186","262"
"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California","675","621","539","764","613","515","321","185","213","139"
