Source: ACS 1-Year Estimates Public Use Microdata Sample 2019
Weight used: WGTP
"Universe: selected geographies: Riverside County (East)--In..., Riverside County (Central)-..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (North Cen..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County--Palm Dese..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Selected Geographies","90-99 Years Old","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old"
"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California","0","303","264","400","344","300","253","147","79","181"
"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California","92","519","426","838","567","465","280","203","186","292"
"Riverside County (Southwest)--Temecula City PUMA, California","876","849","814","862","874","632","510","200","376","530"
"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California","0","523","589","683","500","584","323","340","126","412"
"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California","0","404","291","548","299","375","247","162","158","160"
"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California","0","655","459","569","569","412","433","432","160","224"
"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California","83","340","386","419","316","360","289","46","36","31"
"Riverside County (Northwest)--Moreno Valley City PUMA, California","0","624","622","582","632","424","436","301","213","70"
"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California","0","529","481","398","487","345","356","223","269","44"
"Riverside County (Northwest)--Riverside City (East) PUMA, California","0","506","567","1060","539","527","490","286","329","272"
"Riverside County (Northwest)--Riverside City (West) PUMA, California","787","655","678","615","609","687","388","460","249","581"
"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California","1308","399","301","396","325","357","163","294","265","522"
"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California","466","668","680","616","846","705","340","488","336","74"
"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California","181","599","630","618","609","353","259","303","256","754"
"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California","233","591","529","741","680","468","331","269","165","124"
