Source: ACS 1-Year Estimates Public Use Microdata Sample 2018
Weight used: WGTP
"Universe: selected geographies: Orange County (Southwest)--..., Orange County (South Centra..., Orange County (West Central..., Orange County (Central)--Ir..., Orange County (Northeast)--..., Orange County (North)--Yorb..., Orange County (North Centra..., Orange County (Northwest)--..., Orange County (North Centra..., Orange County (North Centra..., Orange County (Central)--Or..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Southeast)--..., Orange County (Central)--Sa..., Orange County (Central)--Sa..., Orange County (Central)--Co..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Selected Geographies","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old","90-99 Years Old"
"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California","1013","780","974","1212","896","520","373","347","149","445"
"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California","1037","742","709","1105","580","190","371","78","157","589"
"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California","744","918","1306","1401","928","641","459","342","615","535"
"Orange County (Central)--Irvine City (Central) PUMA, California","1548","1439","1888","1491","1206","1050","945","237","726","1682"
"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California","833","848","906","754","774","569","346","174","306","1005"
"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California","699","581","810","825","558","432","272","104","92","100"
"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California","835","846","1118","871","878","565","338","259","579","29"
"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California","988","810","867","846","809","524","286","164","241","0"
"Orange County (North Central)--Anaheim City (West) PUMA, California","996","996","882","959","752","554","514","509","627","760"
"Orange County (North Central)--Anaheim City (East) PUMA, California","1017","967","1010","978","781","576","447","341","165","423"
"Orange County (Central)--Orange & Villa Park Cities PUMA, California","820","945","1172","977","739","405","178","285","119","269"
"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California","966","903","1071","937","807","665","484","466","579","160"
"Orange County (Northwest)--Garden Grove City (East) PUMA, California","851","927","892","884","812","601","622","588","470","51"
"Orange County (Northwest)--Huntington Beach City PUMA, California","986","900","1254","1138","983","644","540","295","505","83"
"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California","471","483","917","579","461","351","454","588","1024","955"
"Orange County (Central)--Santa Ana City (West) PUMA, California","1042","899","841","1012","775","718","468","404","371","0"
"Orange County (Central)--Santa Ana City (East) PUMA, California","969","1043","1000","990","830","839","425","445","442","126"
"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California","969","1041","1250","1130","888","761","578","294","457","348"
