Source: ACS 1-Year Estimates Public Use Microdata Sample 2018
Weight used: WGTP
"Universe: selected geographies: Orange County (Southwest)--..., Orange County (South Centra..., Orange County (West Central..., Orange County (Central)--Ir..., Orange County (Northeast)--..., Orange County (North)--Yorb..., Orange County (North Centra..., Orange County (Northwest)--..., Orange County (North Centra..., Orange County (North Centra..., Orange County (Central)--Or..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Southeast)--..., Orange County (Central)--Sa..., Orange County (Central)--Sa..., Orange County (Central)--Co..."
"","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)","","","","","","","","",""
"Selected Geographies","200000-Max","Negative Income","No Income","20001-40000","60001-80000","80001-120000","120001-160000","160001-200000","1-20000","400001-60000"
"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California","394","611","1673","738","879","831","575","257","1015","727"
"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California","133","1444","0","418","517","533","496","614","223","475"
"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California","395","630","0","847","1069","1066","1212","830","780","1073"
"Orange County (Central)--Irvine City (Central) PUMA, California","702","931","2134","1279","1532","1422","1202","1293","1138","1458"
"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California","137","936","1289","1093","643","916","608","457","664","958"
"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California","308","938","1317","434","683","457","692","102","652","767"
"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California","90","1125","2314","892","900","738","398","647","1097","891"
"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California","139","676","1005","665","770","771","614","194","498","837"
"Orange County (North Central)--Anaheim City (West) PUMA, California","248","1034","1273","1066","906","765","421","498","686","988"
"Orange County (North Central)--Anaheim City (East) PUMA, California","359","1137","387","1118","887","776","586","302","808","946"
"Orange County (Central)--Orange & Villa Park Cities PUMA, California","345","1141","3900","657","620","806","333","491","667","549"
"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California","452","713","1441","882","684","664","755","302","800","887"
"Orange County (Northwest)--Garden Grove City (East) PUMA, California","467","205","1029","832","826","598","713","919","692","857"
"Orange County (Northwest)--Huntington Beach City PUMA, California","496","775","1274","870","1167","772","791","445","968","892"
"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California","309","1283","645","1175","772","621","648","447","825","499"
"Orange County (Central)--Santa Ana City (West) PUMA, California","566","1154","132","786","676","787","535","690","514","1029"
"Orange County (Central)--Santa Ana City (East) PUMA, California","287","811","2229","1048","853","759","653","938","846","991"
"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California","770","484","1387","979","1256","990","767","509","761","1090"
