Source: ACS 1-Year Estimates Public Use Microdata Sample 2015
Weight used: WGTP
"Universe: selected geographies: Orange County (Southwest)--..., Orange County (South Centra..., Orange County (West Central..., Orange County (Central)--Ir..., Orange County (Northeast)--..., Orange County (North)--Yorb..., Orange County (North Centra..., Orange County (Northwest)--..., Orange County (North Centra..., Orange County (North Centra..., Orange County (Central)--Or..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Southeast)--..., Orange County (Central)--Sa..., Orange County (Central)--Sa..., Orange County (Central)--Co..."
"","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)","","","","","","","","",""
"Selected Geographies","200000-Max","Negative Income","No Income","20001-40000","60001-80000","80001-120000","120001-160000","160001-200000","1-20000","400001-60000"
"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California","259","351","755","804","548","723","558","303","636","800"
"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California","168","1293","115","711","679","649","294","287","460","466"
"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California","452","408","1350","938","731","1069","730","696","516","956"
"Orange County (Central)--Irvine City (Central) PUMA, California","702","1156","1650","901","1180","1117","1112","572","1092","865"
"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California","405","1358","1817","536","907","573","545","183","940","996"
"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California","232","466","1163","593","734","386","370","177","556","596"
"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California","126","479","1255","610","727","598","428","431","812","986"
"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California","316","0","930","617","886","471","503","160","505","560"
"Orange County (North Central)--Anaheim City (West) PUMA, California","151","1367","1209","869","884","668","381","388","756","1015"
"Orange County (North Central)--Anaheim City (East) PUMA, California","168","1429","377","860","718","686","484","84","899","867"
"Orange County (Central)--Orange & Villa Park Cities PUMA, California","304","416","856","925","729","636","348","369","636","920"
"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California","215","611","955","689","585","615","189","341","693","615"
"Orange County (Northwest)--Garden Grove City (East) PUMA, California","612","138","1142","759","703","717","770","225","816","639"
"Orange County (Northwest)--Huntington Beach City PUMA, California","337","332","595","789","771","864","586","388","606","847"
"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California","159","678","0","723","530","468","340","266","381","936"
"Orange County (Central)--Santa Ana City (West) PUMA, California","477","886","1197","711","596","396","422","326","691","771"
"Orange County (Central)--Santa Ana City (East) PUMA, California","116","524","1112","856","1076","626","164","360","759","788"
"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California","511","572","1533","957","972","763","914","685","819","1192"
