Source: ACS 1-Year Estimates Public Use Microdata Sample 2015
Weight used: WGTP
"Universe: selected geographies: Riverside County (East)--In..., Riverside County (Central)-..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (North Cen..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County--Palm Dese..."
"","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)","","","","","","","","",""
"Selected Geographies","200000-Max","Negative Income","No Income","20001-40000","60001-80000","80001-120000","120001-160000","160001-200000","1-20000","400001-60000"
"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California","298","111","345","393","245","342","427","0","339","247"
"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California","214","144","299","438","364","334","276","125","367","371"
"Riverside County (Southwest)--Temecula City PUMA, California","0","414","0","569","475","717","167","1017","882","652"
"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California","363","0","0","642","521","513","415","0","603","552"
"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California","38","136","865","431","358","208","186","196","457","375"
"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California","669","161","628","461","299","276","307","157","465","398"
"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California","84","212","270","239","395","322","118","192","319","272"
"Riverside County (Northwest)--Moreno Valley City PUMA, California","0","466","1075","426","308","170","342","90","584","515"
"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California","442","217","0","367","361","328","267","0","362","240"
"Riverside County (Northwest)--Riverside City (East) PUMA, California","77","573","639","570","451","459","444","12","487","576"
"Riverside County (Northwest)--Riverside City (West) PUMA, California","97","890","1025","649","415","404","197","361","583","557"
"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California","0","216","3000","448","274","239","186","220","905","519"
"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California","282","163","266","585","190","232","171","160","728","600"
"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California","355","82","819","476","158","424","411","904","322","302"
"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California","125","46","257","311","495","209","268","846","339","390"
