Source: ACS 1-Year Estimates Public Use Microdata Sample 2019
Weight used: WGTP
"Universe: selected geographies: Riverside County (East)--In..., Riverside County (Central)-..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (North Cen..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County--Palm Dese..."
"","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)","","","","","","","","",""
"Selected Geographies","200000-Max","Negative Income","No Income","20001-40000","60001-80000","80001-120000","120001-160000","160001-200000","1-20000","400001-60000"
"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California","180","199","89","326","253","237","46","403","305","178"
"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California","61","71","825","499","368","389","333","204","330","400"
"Riverside County (Southwest)--Temecula City PUMA, California","332","813","1718","803","848","528","544","347","819","738"
"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California","21","254","1700","200","792","629","464","455","566","518"
"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California","226","239","1424","394","201","282","373","88","368","279"
"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California","60","237","306","426","828","615","185","191","398","434"
"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California","34","164","0","212","325","289","79","191","217","330"
"Riverside County (Northwest)--Moreno Valley City PUMA, California","69","751","0","781","674","251","375","405","783","571"
"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California","110","441","0","524","471","481","140","551","433","328"
"Riverside County (Northwest)--Riverside City (East) PUMA, California","166","310","980","968","688","562","336","377","674","584"
"Riverside County (Northwest)--Riverside City (West) PUMA, California","436","299","29","705","569","690","387","128","657","818"
"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California","231","532","0","625","369","335","206","192","284","664"
"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California","408","675","0","871","941","478","379","105","796","728"
"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California","492","0","695","718","349","466","556","15","666","542"
"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California","171","188","871","561","432","390","251","206","422","379"
