Source: ACS 1-Year Estimates Public Use Microdata Sample 2016
Weight used: WGTP
"Universe: selected geographies: Orange County (Southwest)--..., Orange County (South Centra..., Orange County (West Central..., Orange County (Central)--Ir..., Orange County (Northeast)--..., Orange County (North)--Yorb..., Orange County (North Centra..., Orange County (Northwest)--..., Orange County (North Centra..., Orange County (North Centra..., Orange County (Central)--Or..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Southeast)--..., Orange County (Central)--Sa..., Orange County (Central)--Sa..., Orange County (Central)--Co..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Selected Geographies","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old","90-99 Years Old"
"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California","981","901","1023","1021","731","512","376","272","225","423"
"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California","430","713","702","603","574","452","260","151","468","750"
"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California","855","542","1321","1164","788","435","625","192","301","906"
"Orange County (Central)--Irvine City (Central) PUMA, California","1357","1197","1564","1479","870","611","802","165","228","815"
"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California","868","741","1022","904","688","562","268","397","411","1275"
"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California","535","654","875","681","517","359","216","210","85","295"
"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California","977","719","1100","917","611","635","391","260","267","554"
"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California","757","683","748","859","650","495","291","138","89","138"
"Orange County (North Central)--Anaheim City (West) PUMA, California","1117","948","920","1060","889","757","708","387","614","890"
"Orange County (North Central)--Anaheim City (East) PUMA, California","1077","941","1052","997","855","661","516","266","161","308"
"Orange County (Central)--Orange & Villa Park Cities PUMA, California","776","863","1065","699","723","385","298","151","515","1115"
"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California","855","740","766","773","670","509","437","275","292","676"
"Orange County (Northwest)--Garden Grove City (East) PUMA, California","879","783","942","947","785","553","521","430","488","214"
"Orange County (Northwest)--Huntington Beach City PUMA, California","1007","891","933","1069","868","565","338","138","227","302"
"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California","306","729","523","590","441","385","347","298","0","1146"
"Orange County (Central)--Santa Ana City (West) PUMA, California","952","934","764","962","802","623","407","400","311","550"
"Orange County (Central)--Santa Ana City (East) PUMA, California","928","894","927","940","755","532","390","462","538","238"
"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California","952","930","1251","1204","873","851","473","359","388","44"
