Source: ACS 1-Year Estimates Public Use Microdata Sample 2016
Weight used: WGTP
"Universe: selected geographies: Riverside County (East)--In..., Riverside County (Central)-..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (North Cen..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County--Palm Dese..."
"","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)","","","","","","","","",""
"Selected Geographies","200000-Max","Negative Income","No Income","20001-40000","60001-80000","80001-120000","120001-160000","160001-200000","1-20000","400001-60000"
"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California","427","92","148","314","172","257","260","27","257","267"
"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California","198","124","620","491","254","290","173","105","310","419"
"Riverside County (Southwest)--Temecula City PUMA, California","442","469","1200","633","400","558","519","413","776","510"
"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California","109","907","545","450","528","379","421","108","505","715"
"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California","181","340","0","360","528","285","102","236","511","400"
"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California","407","184","142","505","478","254","155","328","371","421"
"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California","115","111","181","396","226","217","248","237","301","220"
"Riverside County (Northwest)--Moreno Valley City PUMA, California","227","245","0","710","476","262","382","499","629","556"
"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California","57","165","0","504","151","318","630","61","466","493"
"Riverside County (Northwest)--Riverside City (East) PUMA, California","158","376","883","701","729","516","491","107","735","665"
"Riverside County (Northwest)--Riverside City (West) PUMA, California","0","931","370","702","558","385","195","390","641","578"
"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California","153","227","0","645","632","113","103","157","783","361"
"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California","156","592","1000","679","586","401","282","42","540","780"
"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California","183","1002","0","570","553","333","300","493","574","439"
"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California","17","91","259","365","463","507","304","367","308","234"
