,Selected Geographies,200000-Max,Negative Income,No Income,20001-40000,60001-80000,80001-120000,120001-160000,160001-200000,1-20000,400001-60000,year
46,"Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA, California",3.0,0,1.0,2,3,3,3,3.0,2,2,2015
47,"Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California",3.0,0,2.0,2,2,2,2,2.0,2,2,2015
48,"Los Angeles County (Central)--Inglewood City PUMA, California",4.0,0,2.0,3,3,3,4,7.0,2,3,2015
49,"Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA, California",8.0,0,2.0,3,3,4,4,5.0,2,3,2015
50,"Los Angeles County (South Central)--LA City (South Central/Watts) PUMA, California",5.0,0,4.0,4,5,6,7,6.0,3,4,2015
51,"Los Angeles County (South)--South Gate & Lynwood Cities PUMA, California",7.0,0,3.0,3,4,5,5,5.0,3,4,2015
52,"Los Angeles County (South)--Downey City PUMA, California",4.0,0,1.0,3,3,4,3,4.0,2,3,2015
53,"Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA, California",4.0,0,2.0,3,4,4,4,5.0,2,3,2015
54,"Los Angeles County (Southeast)--Norwalk City PUMA, California",4.0,0,1.0,3,4,4,4,4.0,2,3,2015
55,"Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA, California",6.0,0,1.0,3,3,4,4,4.0,2,3,2015
56,"Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA, California",4.0,0,2.0,4,4,4,4,4.0,2,4,2015
57,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA; California",4.0,0,3.0,3,3,3,3,3.0,2,3,2015
58,"Los Angeles County (South Central)--Hawthorne City PUMA, California",3.0,0,2.0,2,3,3,4,4.0,2,3,2015
59,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California",3.0,0,2.0,2,2,2,2,3.0,1,2,2015
60,"Los Angeles County (South Central)--Torrance City PUMA, California",3.0,0,2.0,2,2,3,3,3.0,2,2,2015
