city,city_ascii,state_id,lat,lng
Upland,Upland,CA,34.1178,-117.6603
Davis,Davis,CA,38.5552,-121.7365
Camarillo,Camarillo,CA,34.223,-119.0322
Bellflower,Bellflower,CA,33.888,-118.1271
San Ramon,San Ramon,CA,37.7625,-121.9365
Baldwin Park,Baldwin Park,CA,34.0829,-117.9721
Rancho Cordova,Rancho Cordova,CA,38.574,-121.2523
Lodi,Lodi,CA,38.1218,-121.2932
Union City,Union City,CA,37.603,-122.0187
Apple Valley,Apple Valley,CA,34.5328,-117.2104
Pittsburg,Pittsburg,CA,38.0182,-121.8964
Redlands,Redlands,CA,34.0511,-117.1712
El Paso de Robles,El Paso de Robles,CA,35.6394,-120.656
Walnut Creek,Walnut Creek,CA,37.9024,-122.0398
Lynwood,Lynwood,CA,33.924,-118.2017
Lake Elsinore,Lake Elsinore,CA,33.6847,-117.3344
Rocklin,Rocklin,CA,38.8075,-121.2488
South San Francisco,South San Francisco,CA,37.6536,-122.4197
Yorba Linda,Yorba Linda,CA,33.889,-117.7714
Petaluma,Petaluma,CA,38.2423,-122.6267
Redondo Beach,Redondo Beach,CA,33.8574,-118.3766
Laguna Niguel,Laguna Niguel,CA,33.5275,-117.705
Florence-Graham,Florence-Graham,CA,33.9682,-118.2447
Tulare,Tulare,CA,36.1996,-119.34
Palo Alto,Palo Alto,CA,37.3913,-122.1468
Dublin,Dublin,CA,37.7161,-121.8963
San Clemente,San Clemente,CA,33.4498,-117.6103
Brentwood,Brentwood,CA,37.9355,-121.7191
Carmichael,Carmichael,CA,38.6337,-121.323
Eastvale,Eastvale,CA,33.9617,-117.5802
Castro Valley,Castro Valley,CA,37.7091,-122.0631
Encinitas,Encinitas,CA,33.049,-117.2613
San Luis Obispo,San Luis Obispo,CA,35.2669,-120.6691
Pico Rivera,Pico Rivera,CA,33.9902,-118.0888
Montebello,Montebello,CA,34.0155,-118.1108
National City,National City,CA,32.6654,-117.0983
Woodland,Woodland,CA,38.6712,-121.75
La Habra,La Habra,CA,33.9278,-117.9513
South Whittier,South Whittier,CA,33.9336,-118.0311
Monterey Park,Monterey Park,CA,34.0497,-118.1326
Gardena,Gardena,CA,33.8944,-118.3073
Cupertino,Cupertino,CA,37.3168,-122.0465
La Mesa,La Mesa,CA,32.7703,-117.0204
San Rafael,San Rafael,CA,37.9905,-122.5222
Santee,Santee,CA,32.8554,-116.9851
Arcadia,Arcadia,CA,34.1342,-118.0373
Huntington Park,Huntington Park,CA,33.98,-118.2167
Diamond Bar,Diamond Bar,CA,33.9991,-117.8161
Novato,Novato,CA,38.092,-122.5576
Highland,Highland,CA,34.1113,-117.1654
Fountain Valley,Fountain Valley,CA,33.7105,-117.9514
Hacienda Heights,Hacienda Heights,CA,33.997,-117.9728
Cathedral City,Cathedral City,CA,33.8363,-116.4642
Delano,Delano,CA,35.767,-119.2637
Colton,Colton,CA,34.0538,-117.3254
Arroyo Grande,Arroyo Grande,CA,35.1241,-120.5845
Rosemead,Rosemead,CA,34.0689,-118.0823
Paramount,Paramount,CA,33.8976,-118.1652
Yucaipa,Yucaipa,CA,34.0336,-117.0429
West Sacramento,West Sacramento,CA,38.5557,-121.5504
Palm Desert,Palm Desert,CA,33.7378,-116.3695
Lompoc,Lompoc,CA,34.6618,-120.4714
Glendora,Glendora,CA,34.1449,-117.8468
Placentia,Placentia,CA,33.8807,-117.8553
Beaumont,Beaumont,CA,33.9076,-116.9766
Aliso Viejo,Aliso Viejo,CA,33.5792,-117.7289
Rowland Heights,Rowland Heights,CA,33.9716,-117.8911
Azusa,Azusa,CA,34.1386,-117.9124
Cerritos,Cerritos,CA,33.8677,-118.0686
Oroville,Oroville,CA,39.4999,-121.5634
Poway,Poway,CA,32.9871,-117.0201
San Jacinto,San Jacinto,CA,33.797,-116.9916
Newark,Newark,CA,37.5204,-122.0312
Reedley,Reedley,CA,36.5987,-119.4473
Cypress,Cypress,CA,33.8171,-118.0386
Hollister,Hollister,CA,36.8563,-121.3981
Ceres,Ceres,CA,37.5953,-120.9625
Palm Springs,Palm Springs,CA,33.8017,-116.5382
Antelope,Antelope,CA,38.7153,-121.361
Lincoln,Lincoln,CA,38.8759,-121.2916
La Mirada,La Mirada,CA,33.9025,-118.0093
Rancho Santa Margarita,Rancho Santa Margarita,CA,33.6318,-117.5989
North Highlands,North Highlands,CA,38.6713,-121.3721
Florin,Florin,CA,38.4832,-121.4042
Covina,Covina,CA,34.0903,-117.8817
El Dorado Hills,El Dorado Hills,CA,38.675,-121.049
Morgan Hill,Morgan Hill,CA,37.1326,-121.6417
Coachella,Coachella,CA,33.6905,-116.143
Altadena,Altadena,CA,34.1928,-118.1345
Selma,Selma,CA,36.5715,-119.6143
Danville,Danville,CA,37.8121,-121.9698
Eureka,Eureka,CA,40.7942,-124.1568
Desert Hot Springs,Desert Hot Springs,CA,33.9551,-116.543
Rohnert Park,Rohnert Park,CA,38.348,-122.6964
Brea,Brea,CA,33.9254,-117.8656
San Bruno,San Bruno,CA,37.6254,-122.4313
Oakley,Oakley,CA,37.9929,-121.6951
Bell Gardens,Bell Gardens,CA,33.9663,-118.155
Campbell,Campbell,CA,37.2802,-121.9538
La Quinta,La Quinta,CA,33.6536,-116.2785
Rancho Palos Verdes,Rancho Palos Verdes,CA,33.7554,-118.3637
Los Banos,Los Banos,CA,37.063,-120.8406
Montclair,Montclair,CA,34.0714,-117.698
San Gabriel,San Gabriel,CA,34.0948,-118.099
Calexico,Calexico,CA,32.6849,-115.4944
La Puente,La Puente,CA,34.0323,-117.9533
Culver City,Culver City,CA,34.0058,-118.3968
Pacifica,Pacifica,CA,37.6112,-122.4781
Martinez,Martinez,CA,37.9985,-122.116
La Presa,La Presa,CA,32.711,-117.0027
Stanton,Stanton,CA,33.8002,-117.9935
Wildomar,Wildomar,CA,33.6173,-117.2582
West Hollywood,West Hollywood,CA,34.0882,-118.3718
Moorpark,Moorpark,CA,34.2855,-118.877
Monrovia,Monrovia,CA,34.165,-117.9921
Claremont,Claremont,CA,34.1259,-117.7153
French Valley,French Valley,CA,33.5998,-117.1069
San Juan Capistrano,San Juan Capistrano,CA,33.5009,-117.6544
Foothill Farms,Foothill Farms,CA,38.6867,-121.3475
Temple City,Temple City,CA,34.1021,-118.0579
Bell,Bell,CA,33.9801,-118.1798
Auburn,Auburn,CA,38.895,-121.0778
Westmont,Westmont,CA,33.9417,-118.3018
Manhattan Beach,Manhattan Beach,CA,33.8895,-118.3972
Pleasant Hill,Pleasant Hill,CA,37.954,-122.0759
Orangevale,Orangevale,CA,38.6881,-121.2209
Oildale,Oildale,CA,35.4249,-119.0279
Menlo Park,Menlo Park,CA,37.4686,-122.1672
Arcata,Arcata,CA,40.8615,-124.0757
Grass Valley,Grass Valley,CA,39.2237,-121.0521
Adelanto,Adelanto,CA,34.5815,-117.4397
Foster City,Foster City,CA,37.5553,-122.2659
Sonoma,Sonoma,CA,38.2902,-122.4598
Beverly Hills,Beverly Hills,CA,34.0786,-118.4021
San Dimas,San Dimas,CA,34.1082,-117.809
Dana Point,Dana Point,CA,33.4733,-117.6968
Ridgecrest,Ridgecrest,CA,35.6308,-117.6621
Lawndale,Lawndale,CA,33.8884,-118.3531
La Verne,La Verne,CA,34.1208,-117.7702
Placerville,Placerville,CA,38.7308,-120.7978
Fallbrook,Fallbrook,CA,33.3693,-117.2259
Spring Valley,Spring Valley,CA,32.7316,-116.9766
Banning,Banning,CA,33.946,-116.8992
Laguna Hills,Laguna Hills,CA,33.592,-117.6992
