Year,Average Age Range,Ave People in Household,Ave Rent per Month,County,County Region,Cities
2018,60-69 Years Old,3.0,686.0,Los Angeles,North,LA City (Northeast/North Hollywood & Valley Village)
2018,70-79 Years Old,2.0,480.0,Los Angeles,North,LA City (Northeast/North Hollywood & Valley Village)
2018,80-89 Years Old,2.0,500.0,Los Angeles,North,LA City (Northeast/North Hollywood & Valley Village)
2018,90-99 Years Old,2.0,334.0,Los Angeles,North,LA City (Northeast/North Hollywood & Valley Village)
2019,0-9 Years Old,5.0,1150.0,Los Angeles,North,LA City (Northeast/North Hollywood & Valley Village)
2019,10-19 Years Old,5.0,1261.0,Los Angeles,North,LA City (Northeast/North Hollywood & Valley Village)
2019,20-29 Years Old,3.0,1443.0,Los Angeles,North,LA City (Northeast/North Hollywood & Valley Village)
2019,30-39 Years Old,3.0,1431.0,Los Angeles,North,LA City (Northeast/North Hollywood & Valley Village)
2019,40-49 Years Old,3.0,983.0,Los Angeles,North,LA City (Northeast/North Hollywood & Valley Village)
2019,50-59 Years Old,3.0,857.0,Los Angeles,North,LA City (Northeast/North Hollywood & Valley Village)
2019,60-69 Years Old,2.0,783.0,Los Angeles,North,LA City (Northeast/North Hollywood & Valley Village)
2019,70-79 Years Old,2.0,693.0,Los Angeles,North,LA City (Northeast/North Hollywood & Valley Village)
2019,80-89 Years Old,2.0,606.0,Los Angeles,North,LA City (Northeast/North Hollywood & Valley Village)
2019,90-99 Years Old,2.0,1049.0,Los Angeles,North,LA City (Northeast/North Hollywood & Valley Village)
2015,0-9 Years Old,5.0,601.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2015,10-19 Years Old,5.0,475.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2015,20-29 Years Old,4.0,523.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2015,30-39 Years Old,4.0,825.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2015,40-49 Years Old,4.0,500.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2015,50-59 Years Old,3.0,458.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2015,60-69 Years Old,3.0,434.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2015,70-79 Years Old,3.0,492.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2015,80-89 Years Old,2.0,461.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2015,90-99 Years Old,3.0,223.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2016,0-9 Years Old,5.0,601.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2016,10-19 Years Old,5.0,475.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2016,20-29 Years Old,4.0,523.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2016,30-39 Years Old,4.0,825.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2016,40-49 Years Old,4.0,500.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2016,50-59 Years Old,3.0,458.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2016,60-69 Years Old,3.0,434.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2016,70-79 Years Old,3.0,492.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2016,80-89 Years Old,3.0,461.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2016,90-99 Years Old,2.0,223.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2017,0-9 Years Old,5.0,601.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2017,10-19 Years Old,5.0,475.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2017,20-29 Years Old,4.0,523.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2017,30-39 Years Old,4.0,825.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2017,40-49 Years Old,4.0,500.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2017,50-59 Years Old,3.0,458.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2017,60-69 Years Old,3.0,434.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2017,70-79 Years Old,3.0,492.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2017,80-89 Years Old,3.0,461.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2017,90-99 Years Old,2.0,223.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2018,0-9 Years Old,5.0,624.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2018,10-19 Years Old,5.0,649.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2018,20-29 Years Old,4.0,664.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2018,30-39 Years Old,4.0,712.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2018,40-49 Years Old,4.0,608.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2018,50-59 Years Old,3.0,527.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2018,60-69 Years Old,3.0,297.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2018,70-79 Years Old,3.0,226.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2018,80-89 Years Old,3.0,134.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2018,90-99 Years Old,2.0,146.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2019,0-9 Years Old,5.0,578.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2019,10-19 Years Old,5.0,784.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2019,20-29 Years Old,4.0,636.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2019,30-39 Years Old,4.0,688.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2019,40-49 Years Old,4.0,704.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2019,50-59 Years Old,3.0,352.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2019,60-69 Years Old,3.0,327.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2019,70-79 Years Old,3.0,371.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2019,80-89 Years Old,3.0,149.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2019,90-99 Years Old,3.0,69.0,Los Angeles,North,"LA City (Northeast/Sunland, Sun Valley & Tujunga)"
2015,0-9 Years Old,5.0,835.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2015,10-19 Years Old,5.0,642.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2015,20-29 Years Old,4.0,1078.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2015,30-39 Years Old,4.0,844.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2015,40-49 Years Old,4.0,712.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2015,50-59 Years Old,3.0,492.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2015,60-69 Years Old,3.0,239.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2015,70-79 Years Old,2.0,280.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2015,80-89 Years Old,2.0,287.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2015,90-99 Years Old,3.0,310.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2016,0-9 Years Old,5.0,835.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2016,10-19 Years Old,5.0,642.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2016,20-29 Years Old,4.0,1078.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2016,30-39 Years Old,4.0,844.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2016,40-49 Years Old,4.0,712.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2016,50-59 Years Old,3.0,492.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2016,60-69 Years Old,3.0,239.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2016,70-79 Years Old,3.0,280.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2016,80-89 Years Old,2.0,287.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2016,90-99 Years Old,2.0,310.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2017,0-9 Years Old,5.0,835.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2017,10-19 Years Old,4.0,642.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2017,20-29 Years Old,3.0,1078.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2017,30-39 Years Old,4.0,844.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2017,40-49 Years Old,4.0,712.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2017,50-59 Years Old,3.0,492.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2017,60-69 Years Old,3.0,239.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2017,70-79 Years Old,2.0,280.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2017,80-89 Years Old,2.0,287.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2017,90-99 Years Old,2.0,310.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2018,0-9 Years Old,5.0,634.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2018,10-19 Years Old,4.0,868.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2018,20-29 Years Old,3.0,1008.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2018,30-39 Years Old,4.0,766.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2018,40-49 Years Old,4.0,630.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2018,50-59 Years Old,3.0,534.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2018,60-69 Years Old,3.0,271.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2018,70-79 Years Old,2.0,243.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2018,80-89 Years Old,2.0,226.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2018,90-99 Years Old,2.0,221.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2019,0-9 Years Old,4.0,653.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2019,10-19 Years Old,4.0,787.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2019,20-29 Years Old,4.0,1128.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2019,30-39 Years Old,3.0,777.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2019,40-49 Years Old,4.0,732.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2019,50-59 Years Old,3.0,502.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2019,60-69 Years Old,3.0,353.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2019,70-79 Years Old,3.0,350.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2019,80-89 Years Old,2.0,291.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2019,90-99 Years Old,3.0,294.0,Los Angeles,North,LA City (Northwest/Chatsworth & Porter Ranch)
2015,0-9 Years Old,5.0,296.0,Los Angeles,North/Unincorporated,Castaic
2015,10-19 Years Old,5.0,334.0,Los Angeles,North/Unincorporated,Castaic
2015,20-29 Years Old,4.0,195.0,Los Angeles,North/Unincorporated,Castaic
2015,30-39 Years Old,4.0,364.0,Los Angeles,North/Unincorporated,Castaic
2015,40-49 Years Old,4.0,297.0,Los Angeles,North/Unincorporated,Castaic
2015,50-59 Years Old,3.0,107.0,Los Angeles,North/Unincorporated,Castaic
2015,60-69 Years Old,3.0,119.0,Los Angeles,North/Unincorporated,Castaic
2015,70-79 Years Old,2.0,117.0,Los Angeles,North/Unincorporated,Castaic
2015,80-89 Years Old,2.0,0.0,Los Angeles,North/Unincorporated,Castaic
2015,90-99 Years Old,4.0,0.0,Los Angeles,North/Unincorporated,Castaic
2016,0-9 Years Old,6.0,296.0,Los Angeles,North/Unincorporated,Castaic
2016,10-19 Years Old,5.0,334.0,Los Angeles,North/Unincorporated,Castaic
2016,20-29 Years Old,5.0,195.0,Los Angeles,North/Unincorporated,Castaic
2016,30-39 Years Old,4.0,364.0,Los Angeles,North/Unincorporated,Castaic
2016,40-49 Years Old,4.0,297.0,Los Angeles,North/Unincorporated,Castaic
2016,50-59 Years Old,3.0,107.0,Los Angeles,North/Unincorporated,Castaic
2016,60-69 Years Old,2.0,119.0,Los Angeles,North/Unincorporated,Castaic
2016,70-79 Years Old,2.0,117.0,Los Angeles,North/Unincorporated,Castaic
2016,80-89 Years Old,2.0,0.0,Los Angeles,North/Unincorporated,Castaic
2016,90-99 Years Old,4.0,0.0,Los Angeles,North/Unincorporated,Castaic
2017,0-9 Years Old,5.0,296.0,Los Angeles,North/Unincorporated,Castaic
2017,10-19 Years Old,5.0,334.0,Los Angeles,North/Unincorporated,Castaic
2017,20-29 Years Old,5.0,195.0,Los Angeles,North/Unincorporated,Castaic
2017,30-39 Years Old,4.0,364.0,Los Angeles,North/Unincorporated,Castaic
2017,40-49 Years Old,4.0,297.0,Los Angeles,North/Unincorporated,Castaic
2017,50-59 Years Old,3.0,107.0,Los Angeles,North/Unincorporated,Castaic
2017,60-69 Years Old,3.0,119.0,Los Angeles,North/Unincorporated,Castaic
2017,70-79 Years Old,3.0,117.0,Los Angeles,North/Unincorporated,Castaic
2017,80-89 Years Old,2.0,0.0,Los Angeles,North/Unincorporated,Castaic
2017,90-99 Years Old,3.0,0.0,Los Angeles,North/Unincorporated,Castaic
2018,0-9 Years Old,5.0,449.0,Los Angeles,North/Unincorporated,Castaic
2018,10-19 Years Old,5.0,267.0,Los Angeles,North/Unincorporated,Castaic
2018,20-29 Years Old,5.0,523.0,Los Angeles,North/Unincorporated,Castaic
2018,30-39 Years Old,4.0,423.0,Los Angeles,North/Unincorporated,Castaic
2018,40-49 Years Old,4.0,269.0,Los Angeles,North/Unincorporated,Castaic
2018,50-59 Years Old,3.0,97.0,Los Angeles,North/Unincorporated,Castaic
2018,60-69 Years Old,3.0,116.0,Los Angeles,North/Unincorporated,Castaic
2018,70-79 Years Old,3.0,115.0,Los Angeles,North/Unincorporated,Castaic
2018,80-89 Years Old,2.0,251.0,Los Angeles,North/Unincorporated,Castaic
2018,90-99 Years Old,3.0,674.0,Los Angeles,North/Unincorporated,Castaic
2019,0-9 Years Old,5.0,561.0,Los Angeles,North/Unincorporated,Castaic
2019,10-19 Years Old,5.0,311.0,Los Angeles,North/Unincorporated,Castaic
2019,20-29 Years Old,4.0,291.0,Los Angeles,North/Unincorporated,Castaic
2019,30-39 Years Old,4.0,248.0,Los Angeles,North/Unincorporated,Castaic
2019,40-49 Years Old,4.0,532.0,Los Angeles,North/Unincorporated,Castaic
2019,50-59 Years Old,3.0,156.0,Los Angeles,North/Unincorporated,Castaic
2019,60-69 Years Old,3.0,149.0,Los Angeles,North/Unincorporated,Castaic
2019,70-79 Years Old,3.0,189.0,Los Angeles,North/Unincorporated,Castaic
2019,80-89 Years Old,2.0,377.0,Los Angeles,North/Unincorporated,Castaic
2019,90-99 Years Old,1.0,0.0,Los Angeles,North/Unincorporated,Castaic
2015,0-9 Years Old,5.0,1041.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2015,10-19 Years Old,4.0,953.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2015,20-29 Years Old,4.0,1141.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2015,30-39 Years Old,3.0,1066.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2015,40-49 Years Old,4.0,921.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2015,50-59 Years Old,3.0,759.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2015,60-69 Years Old,3.0,689.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2015,70-79 Years Old,2.0,605.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2015,80-89 Years Old,3.0,461.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2015,90-99 Years Old,3.0,502.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2016,0-9 Years Old,5.0,1041.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2016,10-19 Years Old,5.0,953.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2016,20-29 Years Old,4.0,1141.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2016,30-39 Years Old,4.0,1066.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2016,40-49 Years Old,3.0,921.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2016,50-59 Years Old,3.0,759.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2016,60-69 Years Old,2.0,689.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2016,70-79 Years Old,2.0,605.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2016,80-89 Years Old,2.0,461.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2016,90-99 Years Old,2.0,502.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2017,0-9 Years Old,4.0,1041.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2017,10-19 Years Old,5.0,953.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2017,20-29 Years Old,3.0,1141.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2017,30-39 Years Old,3.0,1066.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2017,40-49 Years Old,4.0,921.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2017,50-59 Years Old,3.0,759.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2017,60-69 Years Old,3.0,689.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2017,70-79 Years Old,2.0,605.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2017,80-89 Years Old,2.0,461.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2017,90-99 Years Old,2.0,502.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2018,0-9 Years Old,4.0,1098.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2018,10-19 Years Old,5.0,982.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2018,20-29 Years Old,3.0,1244.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2018,30-39 Years Old,3.0,1058.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2018,40-49 Years Old,4.0,943.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2018,50-59 Years Old,3.0,855.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2018,60-69 Years Old,3.0,655.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2018,70-79 Years Old,2.0,458.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2018,80-89 Years Old,2.0,1020.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2018,90-99 Years Old,2.0,703.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2019,0-9 Years Old,5.0,1189.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2019,10-19 Years Old,4.0,1148.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2019,20-29 Years Old,3.0,1249.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2019,30-39 Years Old,3.0,1118.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2019,40-49 Years Old,3.0,1015.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2019,50-59 Years Old,3.0,949.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2019,60-69 Years Old,2.0,815.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2019,70-79 Years Old,2.0,555.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2019,80-89 Years Old,2.0,711.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2019,90-99 Years Old,3.0,106.0,Los Angeles,Northwest,LA City (North Central/Van Nuys & North Sherman Oaks)
2015,0-9 Years Old,4.0,587.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2015,10-19 Years Old,4.0,737.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2015,20-29 Years Old,4.0,832.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2015,30-39 Years Old,3.0,899.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2015,40-49 Years Old,4.0,733.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2015,50-59 Years Old,3.0,563.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2015,60-69 Years Old,3.0,468.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2015,70-79 Years Old,2.0,469.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2015,80-89 Years Old,2.0,328.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2015,90-99 Years Old,3.0,96.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2016,0-9 Years Old,4.0,587.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2016,10-19 Years Old,5.0,737.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2016,20-29 Years Old,4.0,832.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2016,30-39 Years Old,4.0,899.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2016,40-49 Years Old,4.0,733.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2016,50-59 Years Old,3.0,563.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2016,60-69 Years Old,3.0,468.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2016,70-79 Years Old,2.0,469.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2016,80-89 Years Old,2.0,328.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2016,90-99 Years Old,3.0,96.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2017,0-9 Years Old,4.0,587.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2017,10-19 Years Old,4.0,737.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2017,20-29 Years Old,4.0,832.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2017,30-39 Years Old,3.0,899.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2017,40-49 Years Old,4.0,733.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2017,50-59 Years Old,3.0,563.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2017,60-69 Years Old,3.0,468.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2017,70-79 Years Old,3.0,469.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2017,80-89 Years Old,2.0,328.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2017,90-99 Years Old,2.0,96.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2018,0-9 Years Old,4.0,756.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2018,10-19 Years Old,4.0,909.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2018,20-29 Years Old,4.0,1017.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2018,30-39 Years Old,3.0,976.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2018,40-49 Years Old,4.0,855.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2018,50-59 Years Old,3.0,613.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2018,60-69 Years Old,3.0,672.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2018,70-79 Years Old,3.0,384.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2018,80-89 Years Old,2.0,670.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2018,90-99 Years Old,2.0,296.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2019,0-9 Years Old,5.0,853.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2019,10-19 Years Old,5.0,753.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2019,20-29 Years Old,4.0,932.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2019,30-39 Years Old,4.0,952.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2019,40-49 Years Old,4.0,644.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2019,50-59 Years Old,3.0,694.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2019,60-69 Years Old,3.0,375.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2019,70-79 Years Old,2.0,379.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2019,80-89 Years Old,2.0,499.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
2019,90-99 Years Old,2.0,834.0,Los Angeles,Northwest,LA City (Northwest/Encino & Tarzana)
