Year,Average Age Range,Ave People in Household,Ave Rent per Month,County,County Region,Cities
2015,70-79 Years Old,3.0,422.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,80-89 Years Old,2.0,341.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,90-99 Years Old,4.0,369.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,0-9 Years Old,5.0,938.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,10-19 Years Old,5.0,983.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,20-29 Years Old,5.0,881.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,30-39 Years Old,4.0,911.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,40-49 Years Old,5.0,895.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,50-59 Years Old,4.0,769.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,60-69 Years Old,4.0,542.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,70-79 Years Old,3.0,422.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,80-89 Years Old,4.0,341.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,90-99 Years Old,3.0,369.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2017,0-9 Years Old,5.0,938.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2017,10-19 Years Old,5.0,983.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2017,20-29 Years Old,5.0,881.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2017,30-39 Years Old,4.0,911.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2017,40-49 Years Old,4.0,895.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2017,50-59 Years Old,4.0,769.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2017,60-69 Years Old,3.0,542.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2017,70-79 Years Old,3.0,422.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2017,80-89 Years Old,3.0,341.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2017,90-99 Years Old,2.0,369.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2018,0-9 Years Old,5.0,985.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2018,10-19 Years Old,5.0,951.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2018,20-29 Years Old,5.0,883.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2018,30-39 Years Old,4.0,872.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2018,40-49 Years Old,4.0,973.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2018,50-59 Years Old,4.0,841.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2018,60-69 Years Old,3.0,651.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2018,70-79 Years Old,3.0,351.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2018,80-89 Years Old,3.0,276.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2018,90-99 Years Old,2.0,434.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2019,0-9 Years Old,5.0,1126.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2019,10-19 Years Old,5.0,1016.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2019,20-29 Years Old,5.0,1004.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2019,30-39 Years Old,4.0,1033.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2019,40-49 Years Old,4.0,916.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2019,50-59 Years Old,4.0,852.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2019,60-69 Years Old,3.0,710.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2019,70-79 Years Old,3.0,668.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2019,80-89 Years Old,3.0,446.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2019,90-99 Years Old,3.0,592.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,0-9 Years Old,4.0,1099.0,Los Angeles,Central,Burbank City
2015,10-19 Years Old,4.0,833.0,Los Angeles,Central,Burbank City
2015,20-29 Years Old,3.0,1363.0,Los Angeles,Central,Burbank City
2015,30-39 Years Old,3.0,1141.0,Los Angeles,Central,Burbank City
2015,40-49 Years Old,3.0,1064.0,Los Angeles,Central,Burbank City
2015,50-59 Years Old,3.0,497.0,Los Angeles,Central,Burbank City
2015,60-69 Years Old,3.0,672.0,Los Angeles,Central,Burbank City
2015,70-79 Years Old,2.0,400.0,Los Angeles,Central,Burbank City
2015,80-89 Years Old,2.0,474.0,Los Angeles,Central,Burbank City
2015,90-99 Years Old,2.0,373.0,Los Angeles,Central,Burbank City
2016,0-9 Years Old,4.0,1099.0,Los Angeles,Central,Burbank City
2016,10-19 Years Old,4.0,833.0,Los Angeles,Central,Burbank City
2016,20-29 Years Old,3.0,1363.0,Los Angeles,Central,Burbank City
2016,30-39 Years Old,3.0,1141.0,Los Angeles,Central,Burbank City
2016,40-49 Years Old,3.0,1064.0,Los Angeles,Central,Burbank City
2016,50-59 Years Old,3.0,497.0,Los Angeles,Central,Burbank City
2016,60-69 Years Old,2.0,672.0,Los Angeles,Central,Burbank City
2016,70-79 Years Old,2.0,400.0,Los Angeles,Central,Burbank City
2016,80-89 Years Old,2.0,474.0,Los Angeles,Central,Burbank City
2016,90-99 Years Old,2.0,373.0,Los Angeles,Central,Burbank City
2017,0-9 Years Old,4.0,1099.0,Los Angeles,Central,Burbank City
2017,10-19 Years Old,4.0,833.0,Los Angeles,Central,Burbank City
2017,20-29 Years Old,3.0,1363.0,Los Angeles,Central,Burbank City
2017,30-39 Years Old,3.0,1141.0,Los Angeles,Central,Burbank City
2017,40-49 Years Old,3.0,1064.0,Los Angeles,Central,Burbank City
2017,50-59 Years Old,3.0,497.0,Los Angeles,Central,Burbank City
2017,60-69 Years Old,2.0,672.0,Los Angeles,Central,Burbank City
2017,70-79 Years Old,2.0,400.0,Los Angeles,Central,Burbank City
2017,80-89 Years Old,2.0,474.0,Los Angeles,Central,Burbank City
2017,90-99 Years Old,2.0,373.0,Los Angeles,Central,Burbank City
2018,0-9 Years Old,4.0,843.0,Los Angeles,Central,Burbank City
2018,10-19 Years Old,4.0,858.0,Los Angeles,Central,Burbank City
2018,20-29 Years Old,3.0,1145.0,Los Angeles,Central,Burbank City
2018,30-39 Years Old,3.0,1204.0,Los Angeles,Central,Burbank City
2018,40-49 Years Old,3.0,821.0,Los Angeles,Central,Burbank City
2018,50-59 Years Old,3.0,852.0,Los Angeles,Central,Burbank City
2018,60-69 Years Old,2.0,505.0,Los Angeles,Central,Burbank City
2018,70-79 Years Old,2.0,331.0,Los Angeles,Central,Burbank City
2018,80-89 Years Old,2.0,278.0,Los Angeles,Central,Burbank City
2018,90-99 Years Old,2.0,963.0,Los Angeles,Central,Burbank City
2019,0-9 Years Old,4.0,748.0,Los Angeles,Central,Burbank City
2019,10-19 Years Old,4.0,787.0,Los Angeles,Central,Burbank City
2019,20-29 Years Old,3.0,1562.0,Los Angeles,Central,Burbank City
2019,30-39 Years Old,3.0,1122.0,Los Angeles,Central,Burbank City
2019,40-49 Years Old,3.0,1044.0,Los Angeles,Central,Burbank City
2019,50-59 Years Old,3.0,741.0,Los Angeles,Central,Burbank City
2019,60-69 Years Old,2.0,551.0,Los Angeles,Central,Burbank City
2019,70-79 Years Old,2.0,442.0,Los Angeles,Central,Burbank City
2019,80-89 Years Old,2.0,285.0,Los Angeles,Central,Burbank City
2019,90-99 Years Old,1.0,779.0,Los Angeles,Central,Burbank City
2015,0-9 Years Old,5.0,841.0,Los Angeles,Central,East Los Angeles
2015,10-19 Years Old,5.0,1001.0,Los Angeles,Central,East Los Angeles
2015,20-29 Years Old,4.0,695.0,Los Angeles,Central,East Los Angeles
2015,30-39 Years Old,4.0,848.0,Los Angeles,Central,East Los Angeles
2015,40-49 Years Old,4.0,793.0,Los Angeles,Central,East Los Angeles
2015,50-59 Years Old,4.0,608.0,Los Angeles,Central,East Los Angeles
2015,60-69 Years Old,3.0,489.0,Los Angeles,Central,East Los Angeles
2015,70-79 Years Old,3.0,402.0,Los Angeles,Central,East Los Angeles
2015,80-89 Years Old,3.0,346.0,Los Angeles,Central,East Los Angeles
2015,90-99 Years Old,2.0,178.0,Los Angeles,Central,East Los Angeles
2016,0-9 Years Old,5.0,841.0,Los Angeles,Central,East Los Angeles
2016,10-19 Years Old,5.0,1001.0,Los Angeles,Central,East Los Angeles
2016,20-29 Years Old,5.0,695.0,Los Angeles,Central,East Los Angeles
2016,30-39 Years Old,5.0,848.0,Los Angeles,Central,East Los Angeles
2016,40-49 Years Old,4.0,793.0,Los Angeles,Central,East Los Angeles
2016,50-59 Years Old,4.0,608.0,Los Angeles,Central,East Los Angeles
2016,60-69 Years Old,3.0,489.0,Los Angeles,Central,East Los Angeles
2016,70-79 Years Old,3.0,402.0,Los Angeles,Central,East Los Angeles
2016,80-89 Years Old,3.0,346.0,Los Angeles,Central,East Los Angeles
2016,90-99 Years Old,3.0,178.0,Los Angeles,Central,East Los Angeles
2017,0-9 Years Old,6.0,841.0,Los Angeles,Central,East Los Angeles
2017,10-19 Years Old,5.0,1001.0,Los Angeles,Central,East Los Angeles
2017,20-29 Years Old,5.0,695.0,Los Angeles,Central,East Los Angeles
2017,30-39 Years Old,5.0,848.0,Los Angeles,Central,East Los Angeles
2017,40-49 Years Old,4.0,793.0,Los Angeles,Central,East Los Angeles
2017,50-59 Years Old,4.0,608.0,Los Angeles,Central,East Los Angeles
2017,60-69 Years Old,4.0,489.0,Los Angeles,Central,East Los Angeles
2017,70-79 Years Old,3.0,402.0,Los Angeles,Central,East Los Angeles
2017,80-89 Years Old,3.0,346.0,Los Angeles,Central,East Los Angeles
2017,90-99 Years Old,4.0,178.0,Los Angeles,Central,East Los Angeles
2018,0-9 Years Old,6.0,899.0,Los Angeles,Central,East Los Angeles
2018,10-19 Years Old,5.0,891.0,Los Angeles,Central,East Los Angeles
2018,20-29 Years Old,5.0,827.0,Los Angeles,Central,East Los Angeles
2018,30-39 Years Old,5.0,813.0,Los Angeles,Central,East Los Angeles
2018,40-49 Years Old,4.0,755.0,Los Angeles,Central,East Los Angeles
2018,50-59 Years Old,4.0,579.0,Los Angeles,Central,East Los Angeles
2018,60-69 Years Old,4.0,441.0,Los Angeles,Central,East Los Angeles
2018,70-79 Years Old,3.0,504.0,Los Angeles,Central,East Los Angeles
2018,80-89 Years Old,3.0,181.0,Los Angeles,Central,East Los Angeles
2018,90-99 Years Old,4.0,118.0,Los Angeles,Central,East Los Angeles
2019,0-9 Years Old,5.0,790.0,Los Angeles,Central,East Los Angeles
2019,10-19 Years Old,5.0,791.0,Los Angeles,Central,East Los Angeles
2019,20-29 Years Old,5.0,685.0,Los Angeles,Central,East Los Angeles
2019,30-39 Years Old,4.0,770.0,Los Angeles,Central,East Los Angeles
2019,40-49 Years Old,5.0,846.0,Los Angeles,Central,East Los Angeles
2019,50-59 Years Old,4.0,614.0,Los Angeles,Central,East Los Angeles
2019,60-69 Years Old,4.0,559.0,Los Angeles,Central,East Los Angeles
2019,70-79 Years Old,3.0,210.0,Los Angeles,Central,East Los Angeles
2019,80-89 Years Old,3.0,197.0,Los Angeles,Central,East Los Angeles
2019,90-99 Years Old,2.0,168.0,Los Angeles,Central,East Los Angeles
2015,0-9 Years Old,6.0,752.0,Los Angeles,Central,El Monte & South El Monte Cities
2015,10-19 Years Old,5.0,753.0,Los Angeles,Central,El Monte & South El Monte Cities
2015,20-29 Years Old,5.0,695.0,Los Angeles,Central,El Monte & South El Monte Cities
2015,30-39 Years Old,5.0,817.0,Los Angeles,Central,El Monte & South El Monte Cities
2015,40-49 Years Old,4.0,620.0,Los Angeles,Central,El Monte & South El Monte Cities
2015,50-59 Years Old,4.0,548.0,Los Angeles,Central,El Monte & South El Monte Cities
2015,60-69 Years Old,3.0,345.0,Los Angeles,Central,El Monte & South El Monte Cities
2015,70-79 Years Old,3.0,251.0,Los Angeles,Central,El Monte & South El Monte Cities
2015,80-89 Years Old,3.0,206.0,Los Angeles,Central,El Monte & South El Monte Cities
2015,90-99 Years Old,4.0,210.0,Los Angeles,Central,El Monte & South El Monte Cities
2016,0-9 Years Old,6.0,752.0,Los Angeles,Central,El Monte & South El Monte Cities
2016,10-19 Years Old,5.0,753.0,Los Angeles,Central,El Monte & South El Monte Cities
2016,20-29 Years Old,5.0,695.0,Los Angeles,Central,El Monte & South El Monte Cities
2016,30-39 Years Old,5.0,817.0,Los Angeles,Central,El Monte & South El Monte Cities
2016,40-49 Years Old,5.0,620.0,Los Angeles,Central,El Monte & South El Monte Cities
2016,50-59 Years Old,4.0,548.0,Los Angeles,Central,El Monte & South El Monte Cities
2016,60-69 Years Old,4.0,345.0,Los Angeles,Central,El Monte & South El Monte Cities
2016,70-79 Years Old,4.0,251.0,Los Angeles,Central,El Monte & South El Monte Cities
2016,80-89 Years Old,4.0,206.0,Los Angeles,Central,El Monte & South El Monte Cities
